	name	encoding
69	Gatik2	[-0.13792814314365387, 0.11859552562236786, 0.06460884213447571, -0.04735785722732544, 0.0014706995571032166, -0.003975245635956526, 0.02627510204911232, -0.01821747049689293, 0.23099285364151, -0.046386562287807465, 0.18351444602012634, -0.01642517000436783, -0.2073741853237152, -0.03634524717926979, -0.007861455902457237, 0.09575168043375015, -0.20988595485687256, -0.03217525780200958, -0.12851276993751526, -0.11651681363582611, 0.07399526238441467, 0.06786482036113739, 0.013318757526576519, 0.06741957366466522, -0.1741463541984558, -0.39563530683517456, -0.09709826856851578, -0.0818195566534996, 0.03852218762040138, -0.04162338748574257, 0.04268880933523178, -0.020344911143183708, -0.22988379001617432, -0.06305357068777084, -0.0227193646132946, 0.04622828960418701, -0.06474974006414413, -0.08708164840936661, 0.11827559024095535, -2.844538539648056e-05, -0.08117369562387466, -0.026755135506391525, 0.02604265883564949, 0.2969016134738922, 0.1541711837053299, 0.057704463601112366, 0.001928582787513733, -0.034971389919519424, 0.10824420303106308, -0.2652195394039154, 0.05870131403207779, 0.15130747854709625, 0.02728964202105999, 0.09290516376495361, 0.1212691217660904, -0.09830121695995331, 0.018953943625092506, 0.16683059930801392, -0.24642309546470642, 0.09660746902227402, -0.013391961343586445, 0.0017577018588781357, -0.009961564093828201, -0.058038897812366486, 0.1363709270954132, 0.1515343338251114, -0.12378481775522232, -0.13105973601341248, 0.09651312977075577, -0.19575217366218567, 0.04123564437031746, 0.0506381094455719, -0.09265302121639252, -0.2594382166862488, -0.30126434564590454, 0.06053133308887482, 0.42496728897094727, 0.19618883728981018, -0.13432611525058746, -0.05229368060827255, -0.07993988692760468, -0.05906037241220474, 0.1386292725801468, 0.03611388057470322, -0.08716946840286255, -0.02729659527540207, -0.08609780669212341, 0.13893160223960876, 0.20052754878997803, 0.04002762585878372, -0.10120827704668045, 0.2573610842227936, -0.012779183685779572, -0.040922846645116806, -0.045583922415971756, 0.02452532760798931, -0.13333508372306824, 0.03845151513814926, -0.12558405101299286, 0.042852677404880524, 0.05802733451128006, -0.02533603087067604, -0.030856449156999588, 0.0769408643245697, -0.14517879486083984, 0.1693342924118042, 0.06315717846155167, -0.04252079129219055, -0.032211024314165115, -0.011273995041847229, -0.23783397674560547, -0.0011713610729202628, 0.18916632235050201, -0.2313746213912964, 0.2075379341840744, 0.18703339993953705, 0.024771610274910927, 0.1750541627407074, 0.014123722910881042, 0.005200402811169624, 0.017184019088745117, -0.042104288935661316, -0.13534575700759888, -0.04249926283955574, 0.04426223784685135, -0.03897202014923096, 0.07697892189025879, -0.02397530898451805]
70	Gatik2	[-0.14389581978321075, 0.11487024277448654, 0.08092521131038666, -0.033519186079502106, 0.007945591583848, -0.0008255648426711559, 0.03643934801220894, -0.002139315940439701, 0.23578275740146637, -0.043588921427726746, 0.20987054705619812, 0.0073143113404512405, -0.20021070539951324, -0.04227933660149574, -0.00018324702978134155, 0.08757738769054413, -0.17646294832229614, -0.03893410041928291, -0.15310822427272797, -0.10657422989606857, 0.03724917396903038, 0.0541718490421772, 0.0012035821564495564, 0.054255709052085876, -0.1525612473487854, -0.408006876707077, -0.08163497596979141, -0.06499278545379639, 0.026257364079356194, -0.06695635616779327, 0.03465372696518898, -0.0030842418782413006, -0.22391389310359955, -0.0827048271894455, -0.042655736207962036, 0.0514809675514698, -0.08695752173662186, -0.09536862373352051, 0.12813900411128998, -0.0029951948672533035, -0.08795573562383652, -0.022973082959651947, 0.026844307780265808, 0.3121654689311981, 0.18640176951885223, 0.02640819363296032, -0.011653272435069084, -0.022806381806731224, 0.1000024825334549, -0.2819836735725403, 0.05191919580101967, 0.150278240442276, 0.03908465802669525, 0.09516400098800659, 0.1419270634651184, -0.07198645174503326, -0.002076241187751293, 0.1497373729944229, -0.22654718160629272, 0.07268781214952469, -0.03598674386739731, 0.004206704907119274, -0.026143088936805725, -0.0801776647567749, 0.1373187154531479, 0.17784483730793, -0.11118586361408234, -0.1265997290611267, 0.10145380347967148, -0.18520672619342804, 0.030680019408464432, 0.050372086465358734, -0.09489352256059647, -0.25639986991882324, -0.28962695598602295, 0.08199407905340195, 0.4023444354534149, 0.1834433376789093, -0.14280740916728973, -0.03773462399840355, -0.07808583229780197, -0.06931639462709427, 0.1332201361656189, 0.027216952294111252, -0.07376758754253387, -0.04157131165266037, -0.06947223097085953, 0.1337539702653885, 0.19832345843315125, 0.052634239196777344, -0.1137380450963974, 0.2288762331008911, -0.021123996004462242, -0.061056286096572876, -0.020547447726130486, 0.025231029838323593, -0.10790614783763885, 0.048705071210861206, -0.15653325617313385, 0.04165863245725632, 0.08088338375091553, -0.028107738122344017, -0.026969660073518753, 0.06912017613649368, -0.12846489250659943, 0.14898400008678436, 0.07708994299173355, -0.0193324014544487, 0.022560257464647293, -0.009936467744410038, -0.2362099587917328, -0.013591096736490726, 0.18604326248168945, -0.23466825485229492, 0.22535210847854614, 0.1578110009431839, -0.005966135300695896, 0.15490257740020752, 0.020868249237537384, 0.01354568637907505, 0.018506329506635666, -0.02524947188794613, -0.1220247820019722, -0.03697890043258667, 0.040634553879499435, -0.015572048723697662, 0.06651721149682999, -0.023146603256464005]
71	Gatik2	[-0.13870735466480255, 0.12083349376916885, 0.08802943676710129, -0.027221450582146645, 0.022453583776950836, -0.033643655478954315, -0.010196669027209282, -0.01473432220518589, 0.21744994819164276, -0.027157403528690338, 0.23662163317203522, -0.0010953410528600216, -0.19596180319786072, -0.06499370187520981, -0.030563069507479668, 0.0937262773513794, -0.17977815866470337, -0.02641429752111435, -0.12850308418273926, -0.11693975329399109, 0.06657520681619644, 0.04637986794114113, 0.044874005019664764, 0.060285333544015884, -0.18244335055351257, -0.36653459072113037, -0.08422303199768066, -0.0858977884054184, 0.0384649857878685, -0.04820540174841881, -0.0041832104325294495, -0.009271363727748394, -0.24999642372131348, -0.11014417558908463, -0.04258143529295921, 0.06081538647413254, -0.05506972223520279, -0.09396522492170334, 0.1168975681066513, -0.011118091642856598, -0.08390679955482483, -0.008251719176769257, 0.014467553235590458, 0.295903742313385, 0.1899612545967102, 0.035105589777231216, 0.010668615810573101, -0.023969555273652077, 0.09582412242889404, -0.28617942333221436, 0.07700143754482269, 0.13163842260837555, 0.024712074548006058, 0.10697481781244278, 0.1280985176563263, -0.10288781672716141, 0.015187120996415615, 0.19431494176387787, -0.20161011815071106, 0.081436887383461, -0.04386371374130249, 0.01845712587237358, 0.024288546293973923, -0.06007279083132744, 0.16140390932559967, 0.17439977824687958, -0.10834269225597382, -0.11884957551956177, 0.09578040987253189, -0.16686438024044037, 0.029047952964901924, 0.07795228809118271, -0.09432402998209, -0.24106308817863464, -0.33421438932418823, 0.09000241011381149, 0.41388705372810364, 0.18037962913513184, -0.14770908653736115, -0.0234396830201149, -0.08633603900671005, -0.05576152727007866, 0.1332252025604248, 0.01708168163895607, -0.07660570740699768, -0.005231119692325592, -0.09207754582166672, 0.09955685585737228, 0.2248176783323288, 0.05611426383256912, -0.1260554939508438, 0.2529953420162201, -0.020389370620250702, -0.03511602431535721, 0.005469494964927435, 0.04286263510584831, -0.106988824903965, 0.027844972908496857, -0.14860717952251434, 0.05508168786764145, 0.05834253877401352, -0.045491330325603485, -0.05945894122123718, 0.06762934476137161, -0.13949546217918396, 0.11857808381319046, 0.05911392346024513, -0.021426670253276825, -0.02601887658238411, -0.010155247524380684, -0.2140910029411316, 0.0015607575187459588, 0.17704622447490692, -0.25301188230514526, 0.23792482912540436, 0.17754215002059937, 0.04086044803261757, 0.17598938941955566, 0.03925428166985512, -0.0036679189652204514, 0.01666550524532795, -0.032318808138370514, -0.09733756631612778, -0.04811927676200867, 0.056105148047208786, -0.034079186618328094, 0.08704489469528198, 0.006281856447458267]
72	Gatik2	[-0.14646591246128082, 0.10929761081933975, 0.07519786804914474, -0.029114961624145508, -0.006612794008105993, 0.018069952726364136, 0.024077409878373146, 0.0015197554603219032, 0.21575269103050232, -0.04771188646554947, 0.2071736454963684, 0.013859568163752556, -0.1953294575214386, -0.0613396018743515, -0.010388768278062344, 0.1002654880285263, -0.18096113204956055, -0.04972868412733078, -0.1498694270849228, -0.11032205820083618, 0.05606820806860924, 0.037675466388463974, 0.022588226944208145, 0.05195838212966919, -0.18985611200332642, -0.3982979357242584, -0.10485826432704926, -0.07815002650022507, 0.056826744228601456, -0.07182560116052628, -0.004597012884914875, -0.04351777210831642, -0.2510391175746918, -0.08514513075351715, -0.04448062926530838, 0.06024894490838051, -0.05954359471797943, -0.10196804255247116, 0.10189785063266754, 0.011006389744579792, -0.09234397858381271, 0.043249160051345825, 0.014629147946834564, 0.32481858134269714, 0.1860225945711136, 0.045187532901763916, -0.0055025797337293625, 0.0019243545830249786, 0.08833793550729752, -0.28111305832862854, 0.09168403595685959, 0.12761899828910828, 0.05259014666080475, 0.07959773391485214, 0.12123806774616241, -0.09138242900371552, 0.014147279784083366, 0.17823664844036102, -0.2368260622024536, 0.08875620365142822, -0.033798087388277054, 0.012300383299589157, -0.004857166670262814, -0.0516824796795845, 0.1348603069782257, 0.18203791975975037, -0.11526533961296082, -0.13330715894699097, 0.08448336273431778, -0.18394504487514496, 0.0809897631406784, 0.04194600507616997, -0.10645785927772522, -0.24209390580654144, -0.29883092641830444, 0.11516999453306198, 0.448133647441864, 0.19274480640888214, -0.1481488049030304, -0.03535417839884758, -0.08487072587013245, -0.04855852574110031, 0.12012394517660141, 0.02922336384654045, -0.08440592885017395, -0.034781768918037415, -0.09627949446439743, 0.1397562474012375, 0.18850034475326538, 0.04949776828289032, -0.09748052805662155, 0.25180092453956604, -0.00820847786962986, -0.07222037017345428, -0.016131455078721046, 0.026301732286810875, -0.13585777580738068, 0.029948918148875237, -0.11376021057367325, 0.043281439691782, 0.05185069516301155, -0.05871349573135376, -0.04172128811478615, 0.07112494111061096, -0.14980436861515045, 0.14578408002853394, 0.055777303874492645, -0.0365736186504364, -3.14079225063324e-05, -0.0010353880934417248, -0.21964798867702484, -0.019183175638318062, 0.165446937084198, -0.25910332798957825, 0.20938599109649658, 0.20567220449447632, 0.015424083918333054, 0.16607791185379028, 0.029949575662612915, 0.008155791088938713, 0.027034707367420197, 0.002584046684205532, -0.11982441693544388, -0.03722482547163963, 0.03535943105816841, -0.053934335708618164, 0.07607381045818329, -0.006369765382260084]
73	Gatik2	[-0.14543238282203674, 0.12065539509057999, 0.09350502490997314, -0.03292166814208031, 0.006729443557560444, 0.009450685232877731, 0.04466924071311951, 0.0034783678129315376, 0.23886720836162567, -0.0431746169924736, 0.23230527341365814, -0.009472762234508991, -0.2105865478515625, -0.07047787308692932, -0.0051892721094191074, 0.10772092640399933, -0.1807113140821457, -0.03926941752433777, -0.1251603215932846, -0.11910399794578552, 0.060214802622795105, 0.03530589118599892, 0.03871023654937744, 0.05991438403725624, -0.18205967545509338, -0.39762240648269653, -0.0841723307967186, -0.0883755162358284, 0.05826263129711151, -0.06889510899782181, -0.00394368264824152, -0.019604524597525597, -0.23866894841194153, -0.09985252469778061, -0.05832401663064957, 0.03336953744292259, -0.03944854810833931, -0.08681130409240723, 0.11213897168636322, -0.010775493457913399, -0.0894898995757103, 0.0029816078022122383, 0.020940028131008148, 0.3025546967983246, 0.16840095818042755, 0.02712959051132202, 0.007738711312413216, -0.008979540318250656, 0.07622263580560684, -0.26924994587898254, 0.07240203022956848, 0.10987105220556259, 0.04230019450187683, 0.06730400025844574, 0.1220233365893364, -0.09622912853956223, -0.015424364246428013, 0.18264837563037872, -0.22083783149719238, 0.10603784024715424, -0.026027526706457138, 0.020824799314141273, -0.006400587968528271, -0.05287208780646324, 0.15025083720684052, 0.1690923571586609, -0.11117679625749588, -0.13487479090690613, 0.07544773817062378, -0.16633296012878418, 0.07448878139257431, 0.06734616309404373, -0.09950299561023712, -0.2386907935142517, -0.2823293209075928, 0.10655075311660767, 0.4175482988357544, 0.17293377220630646, -0.14664790034294128, -0.027482636272907257, -0.08973842859268188, -0.04980010539293289, 0.13510514795780182, 0.0307475458830595, -0.07303646206855774, -0.015126101672649384, -0.09173323959112167, 0.12726004421710968, 0.18006722629070282, 0.049683570861816406, -0.10370896011590958, 0.2575345039367676, -0.024621788412332535, -0.04681020975112915, -0.02180507779121399, 0.020524878054857254, -0.12946376204490662, 0.04805033281445503, -0.12896336615085602, 0.04113331809639931, 0.054610397666692734, -0.03997432067990303, -0.036792658269405365, 0.049963079392910004, -0.1388983279466629, 0.1210317313671112, 0.05160963907837868, -0.019140612334012985, -0.003203284926712513, -0.0008356431499123573, -0.2058880776166916, -0.010152995586395264, 0.17017677426338196, -0.2502307593822479, 0.20312899351119995, 0.18102559447288513, 0.014311646111309528, 0.16457146406173706, 0.033150412142276764, -0.0007282719016075134, 0.04350045695900917, -0.007799933664500713, -0.10468541830778122, -0.008231531828641891, 0.06080383062362671, -0.07326601445674896, 0.09159957617521286, -0.01732310652732849]
74	Gatik2	[-0.1329590529203415, 0.13546526432037354, 0.07674173265695572, -0.06303242594003677, -0.04847997799515724, 0.03138640895485878, 0.013605943880975246, 0.004921169951558113, 0.23728610575199127, -0.04991396889090538, 0.21064995229244232, 0.008332076482474804, -0.17968085408210754, -0.07080625742673874, 0.0025875307619571686, 0.09381807595491409, -0.17131629586219788, -0.02065390720963478, -0.158795565366745, -0.10559991002082825, 0.03826696425676346, 0.030175257474184036, 0.03734293580055237, 0.03471808135509491, -0.16858002543449402, -0.4144045412540436, -0.08616066724061966, -0.10841532796621323, 0.06275124102830887, -0.07816924154758453, 0.0016349973157048225, -0.06450548768043518, -0.20831377804279327, -0.0962378978729248, -0.055142223834991455, 0.0436280183494091, -0.09749782830476761, -0.10353764146566391, 0.13790708780288696, -0.03276655077934265, -0.09185678511857986, 0.02142377756536007, 0.018027063459157944, 0.2970104217529297, 0.18699999153614044, 0.0183793306350708, 0.025228772312402725, -0.005933702923357487, 0.13210101425647736, -0.2880421280860901, 0.1036306843161583, 0.11400823295116425, 0.053081247955560684, 0.09070222079753876, 0.16753603518009186, -0.058969758450984955, 0.02040303871035576, 0.19702434539794922, -0.2475171834230423, 0.08724790811538696, -0.0044688694179058075, 0.030693992972373962, -0.03986752778291702, -0.07052600383758545, 0.1825612187385559, 0.19943484663963318, -0.12080726027488708, -0.13313226401805878, 0.08284229785203934, -0.1779463291168213, 0.07034904509782791, 0.04634259268641472, -0.0937848761677742, -0.22676119208335876, -0.284697949886322, 0.10784615576267242, 0.40921881794929504, 0.20781466364860535, -0.15244479477405548, -0.05182334780693054, -0.10573042184114456, -0.05323481559753418, 0.10698424279689789, 0.0059528956189751625, -0.09110654145479202, -0.02570437081158161, -0.06604766100645065, 0.11685806512832642, 0.1806224286556244, 0.026570307090878487, -0.07186123728752136, 0.2734195291996002, 0.021302355453372, -0.06803333759307861, -0.023849492892622948, 0.01179385557770729, -0.12975648045539856, 0.012980197556316853, -0.10677976906299591, 0.06672204285860062, 0.08447710424661636, -0.08900845050811768, -0.02536204271018505, 0.04658450931310654, -0.1900082379579544, 0.17065943777561188, 0.03711247071623802, -0.013085108250379562, 0.017466500401496887, -0.027567174285650253, -0.20566534996032715, -0.008324560709297657, 0.2058074027299881, -0.2674371302127838, 0.21033774316310883, 0.17346429824829102, 0.02300759218633175, 0.16826596856117249, 0.024957040324807167, 0.0001714024692773819, 0.020446043461561203, -0.01051020435988903, -0.10960829257965088, -0.031222213059663773, 0.030887093394994736, -0.060030169785022736, 0.05567985773086548, 0.015031235292553902]
75	Gatik2	[-0.14661581814289093, 0.1083141416311264, 0.07458660006523132, -0.05582425370812416, -0.020190056413412094, 0.033868882805109024, 0.04761309176683426, 0.014039309695363045, 0.22509601712226868, -0.058444250375032425, 0.16789039969444275, 0.023937992751598358, -0.22829283773899078, -0.02851198986172676, 0.02726217731833458, 0.07713627815246582, -0.15774807333946228, -0.04486154019832611, -0.13785910606384277, -0.1030045747756958, 0.08323755115270615, 0.06591794639825821, 0.007696819491684437, 0.04965589568018913, -0.1588626205921173, -0.3816385865211487, -0.0790281668305397, -0.06682295352220535, 0.06263656169176102, -0.04685944318771362, 0.0011600619181990623, -0.046196114271879196, -0.2156854271888733, -0.07295487821102142, -0.05584544688463211, 0.05534011498093605, -0.07316577434539795, -0.12574562430381775, 0.1266704797744751, -0.0021112803369760513, -0.09092983603477478, -0.036665547639131546, 0.0204688161611557, 0.2861438989639282, 0.1424711048603058, 0.015814606100320816, 0.03237539529800415, -0.0070483069866895676, 0.1311015486717224, -0.30648186802864075, 0.08218694478273392, 0.1041574627161026, 0.05533107370138168, 0.10773232579231262, 0.14335152506828308, -0.10863812267780304, 0.03184150904417038, 0.17050549387931824, -0.2541407346725464, 0.14400407671928406, -0.01935003697872162, -0.016874732449650764, -0.008694547228515148, -0.08756960928440094, 0.15337003767490387, 0.16497693955898285, -0.09900760650634766, -0.16201342642307281, 0.09879159927368164, -0.2078848034143448, 0.022551734000444412, 0.0718039870262146, -0.07936255633831024, -0.2294187694787979, -0.30125901103019714, 0.08825632929801941, 0.3787771761417389, 0.22407348453998566, -0.1331392079591751, -0.04161901772022247, -0.06716590374708176, -0.0635136291384697, 0.1267310380935669, 0.0452108159661293, -0.07191493362188339, -0.000728236511349678, -0.09391448646783829, 0.11071577668190002, 0.2318069487810135, 0.04426679015159607, -0.099950410425663, 0.28499463200569153, 0.026094883680343628, -0.0395832359790802, -0.015769047662615776, 0.03819479048252106, -0.11783967167139053, 0.0164550319314003, -0.10727424919605255, 0.07219203561544418, 0.06502442061901093, -0.09744396805763245, -0.023363390937447548, 0.07153107970952988, -0.15656766295433044, 0.16634339094161987, 0.010424627922475338, -0.013833241537213326, -0.013578164391219616, -0.03192390501499176, -0.23085753619670868, -0.00199700566008687, 0.1814752221107483, -0.24774126708507538, 0.18466249108314514, 0.19070006906986237, 0.034447137266397476, 0.15926885604858398, 0.0011126361787319183, 0.016840273514389992, 0.03174777701497078, -0.018585190176963806, -0.13761790096759796, -0.04379371181130409, 0.04304227605462074, -0.05576802045106888, 0.04194718599319458, 0.027611758559942245]
76	Gatik2	[-0.12288738042116165, 0.11957526206970215, 0.07704009115695953, -0.02223031595349312, -0.015408482402563095, 0.01752477139234543, 0.03894922137260437, -0.014012373983860016, 0.227309450507164, -0.06230217590928078, 0.183709979057312, 0.018424972891807556, -0.21571239829063416, -0.009610334411263466, -0.01695513166487217, 0.10351041704416275, -0.17234648764133453, -0.019525371491909027, -0.18016363680362701, -0.1441429704427719, 0.019022295251488686, 0.04286452755331993, 0.035059940069913864, 0.020085278898477554, -0.17900702357292175, -0.35341712832450867, -0.07698319107294083, -0.06961853802204132, 0.08087710291147232, -0.039828039705753326, 0.02626926824450493, -0.04029391333460808, -0.23575881123542786, -0.08645353466272354, -0.03270111232995987, -0.0017926357686519623, -0.06851205974817276, -0.09635640680789948, 0.12429630756378174, 0.022538604214787483, -0.08770068734884262, -0.005918852053582668, 0.01695694588124752, 0.30998849868774414, 0.16798725724220276, 0.01635720767080784, -0.002915196120738983, -0.04448750615119934, 0.09875738620758057, -0.2825270891189575, 0.06823913007974625, 0.11687764525413513, 0.04409506171941757, 0.09667988121509552, 0.14252713322639465, -0.07843269407749176, 0.03704337775707245, 0.20071415603160858, -0.22881433367729187, 0.11545445770025253, -0.005488129332661629, 0.016323862597346306, -0.012405280955135822, -0.07603594660758972, 0.14462237060070038, 0.1571270227432251, -0.10158655047416687, -0.13439229130744934, 0.0858938992023468, -0.17128929495811462, 0.06421887129545212, 0.05515608564019203, -0.08015616983175278, -0.23386596143245697, -0.3060210049152374, 0.07439272850751877, 0.4101734459400177, 0.23134392499923706, -0.13411180675029755, -0.055779315531253815, -0.09931621700525284, -0.05886324122548103, 0.1299586296081543, 0.02706770971417427, -0.09298333525657654, -0.05494578927755356, -0.037532128393650055, 0.1122889518737793, 0.19623687863349915, 0.03754214942455292, -0.11012181639671326, 0.25502312183380127, -0.012153219431638718, -0.09778629243373871, -0.054733213037252426, -0.0009875611867755651, -0.16991396248340607, 0.01095230970531702, -0.1176178827881813, 0.0020688585937023163, 0.051317717880010605, -0.06244814395904541, -0.001504858024418354, 0.07940346002578735, -0.18380391597747803, 0.1572713404893875, 0.04134255647659302, -0.03607960790395737, 0.03245287761092186, -0.0010992924217134714, -0.19773899018764496, -0.004333441145718098, 0.19039639830589294, -0.23591086268424988, 0.2256462723016739, 0.20304158329963684, 0.02663564123213291, 0.13868623971939087, 0.02222963608801365, -0.003153769299387932, 0.012680646032094955, 0.024387827143073082, -0.09228184819221497, -0.04079050198197365, 0.029538864269852638, -0.08137863129377365, 0.07136708498001099, -0.01870877668261528]
77	Gatik2	[-0.1008220836520195, 0.10573554784059525, 0.03192853182554245, -0.04820432513952255, 0.016173385083675385, 0.005121053196489811, 0.0380648672580719, 0.0011926256120204926, 0.21336646378040314, -0.04760206863284111, 0.213288351893425, 0.01654699072241783, -0.22297772765159607, -0.05438321828842163, 0.0021884860470891, 0.056093133985996246, -0.14337043464183807, -0.04641207680106163, -0.16738706827163696, -0.12506288290023804, 0.045585550367832184, 0.04601822420954704, 0.029990416020154953, 0.06947283446788788, -0.15816454589366913, -0.3488912284374237, -0.06768781691789627, -0.08847446739673615, 0.0711786076426506, -0.08123696595430374, 0.008508143946528435, -0.011469916440546513, -0.24483737349510193, -0.10865721106529236, -0.020815106108784676, 0.048692479729652405, -0.08181476593017578, -0.08774174004793167, 0.15942677855491638, 0.02356143854558468, -0.07600454241037369, -0.007347469218075275, 0.030162960290908813, 0.31751152873039246, 0.18205055594444275, 0.04663734883069992, -0.005930786952376366, -0.025816122069954872, 0.11637682467699051, -0.2907518446445465, 0.07128685712814331, 0.13036495447158813, 0.09465133398771286, 0.10040535032749176, 0.15204425156116486, -0.12209261953830719, 0.03453647345304489, 0.15546496212482452, -0.2381904423236847, 0.1188381165266037, -0.04297168552875519, -0.015178583562374115, -0.013744505122303963, -0.08673232793807983, 0.1646704524755478, 0.14333291351795197, -0.1152009516954422, -0.1386086344718933, 0.10264818370342255, -0.20559723675251007, 0.023359689861536026, 0.11148948222398758, -0.07137448340654373, -0.23403820395469666, -0.2910664975643158, 0.0839696153998375, 0.4054480791091919, 0.24625998735427856, -0.15001772344112396, -0.018600720912218094, -0.07174781709909439, -0.07203388214111328, 0.13196015357971191, 0.053219493478536606, -0.07495829463005066, -0.028588440269231796, -0.06535245478153229, 0.08879788219928741, 0.18700741231441498, 0.0559050589799881, -0.1329677402973175, 0.23561587929725647, -0.01904899999499321, -0.010707158595323563, -0.016139954328536987, 0.0002996377879753709, -0.14564107358455658, 0.027834385633468628, -0.12276601046323776, 0.04382123053073883, 0.02476803958415985, -0.0593094564974308, -0.016161195933818817, 0.06604339182376862, -0.12375912815332413, 0.13606083393096924, 0.02489161677658558, -0.027365300804376602, -0.004001885652542114, 0.010758336633443832, -0.19524909555912018, -0.013842327520251274, 0.1503930538892746, -0.3062763810157776, 0.22557027637958527, 0.18246810138225555, 0.01340223103761673, 0.14513550698757172, 0.03398602828383446, 0.017152385786175728, 0.04816148430109024, 0.0032788077369332314, -0.14031116664409637, -0.06491611152887344, 0.028413597494363785, -0.05478648096323013, 0.0806390643119812, -0.02357747033238411]
78	Gatik2	[-0.1122979000210762, 0.10654295980930328, 0.09689625352621078, -0.05342162027955055, 0.007397346198558807, -0.013182153925299644, 0.024903494864702225, 0.0037579722702503204, 0.20131580531597137, -0.07435104995965958, 0.2183314561843872, -0.0065695359371602535, -0.2207137942314148, -0.07142987102270126, 0.012103491462767124, 0.1080547422170639, -0.1636195182800293, -0.04160697013139725, -0.14784006774425507, -0.10792379826307297, 0.07832827419042587, 0.03978149592876434, 0.02969512902200222, 0.031792737543582916, -0.1615007370710373, -0.40362244844436646, -0.08510811626911163, -0.06942060589790344, 0.0005897711962461472, -0.06689435243606567, -0.005685851909220219, -0.022569436579942703, -0.24159656465053558, -0.08516785502433777, -0.05645245686173439, 0.040034279227256775, -0.06454956531524658, -0.08336681872606277, 0.11746817082166672, 0.021067678928375244, -0.10695796459913254, -0.006010403856635094, 0.02910454384982586, 0.2904167175292969, 0.17226403951644897, 0.03886827453970909, -0.003988886252045631, -0.010377000086009502, 0.10734743624925613, -0.2864949107170105, 0.07156195491552353, 0.10377434641122818, 0.06044773757457733, 0.08324521780014038, 0.16785497963428497, -0.08372951298952103, 0.013209839351475239, 0.1470227837562561, -0.2510364055633545, 0.08579635620117188, -0.026079855859279633, -0.015017366036772728, -0.02029942348599434, -0.11616071313619614, 0.1604587584733963, 0.17328640818595886, -0.10885471105575562, -0.1397969275712967, 0.10752076655626297, -0.17060431838035583, 0.028030214831233025, 0.06985314935445786, -0.09295077621936798, -0.22475409507751465, -0.33732134103775024, 0.08082360774278641, 0.3864239752292633, 0.20690976083278656, -0.14798712730407715, -0.05976700037717819, -0.07122835516929626, -0.062465425580739975, 0.11915398389101028, 0.022331172600388527, -0.06757431477308273, 0.018086876720190048, -0.08008288592100143, 0.12060260772705078, 0.1765396147966385, 0.034192588180303574, -0.1246245950460434, 0.2452704906463623, -0.02985716424882412, -0.02590538002550602, -0.024063965305685997, 0.009994366206228733, -0.13992781937122345, 0.026956649497151375, -0.16351822018623352, 0.049069978296756744, 0.0388910174369812, -0.07287530601024628, -0.038053594529628754, 0.07705320417881012, -0.12547002732753754, 0.11952381581068039, 0.022706901654601097, -0.04361162707209587, -0.04359240457415581, 0.009586421772837639, -0.23557843267917633, -0.008886613883078098, 0.14279136061668396, -0.25500860810279846, 0.19679947197437286, 0.18938110768795013, 0.02209559455513954, 0.1354198008775711, 0.022592512890696526, 0.0017303097993135452, -0.0029896730557084084, -0.021772202104330063, -0.1425948590040207, -0.04935672506690025, 0.053452298045158386, -0.026382938027381897, 0.09139314293861389, 0.001367336604744196]
